"starch","glycerol","glucose","fructose","citrate","butyrate","ascorbic","acetate","rep_1","rep_2","rep_3","mean","sd"
0,1,1,1,0,1,1,0,0.0361583598616443,0.0348754205814803,0.0451573281255845,0.038730369522903,0.00560275208799953
0,1,1,1,0,1,1,1,0.0400610802035969,0.0397838915757836,0.0594563173265503,0.0464337630353103,0.0112787144030279
0,1,1,1,1,0,0,0,0.0677733845680711,0.0626275200818975,0.0750918176232539,0.0684975740910742,0.00626362643751898
0,1,1,1,1,0,0,1,0.064564643344997,0.0569378380400239,0.0844455123031148,0.0686493312293786,0.0142014626773332
0,1,1,1,1,0,1,0,0.0558713896909798,0.0599185256451314,0.0719490666131335,0.0625796606497482,0.00836266425476276
0,1,1,1,1,0,1,1,0.0608515997187534,0.0567324373931334,0.0812070159760171,0.0662636843626346,0.0131041689681887
0,1,1,1,1,1,0,0,0.0567589645611055,0.0669288310354497,0.0681840793667269,0.0639572916544274,0.00626544865114482
0,1,1,1,1,1,0,1,0.0639226261323887,0.0624355423839776,0.0861804700804749,0.0708462128656138,0.0133006555390078
0,1,1,1,1,1,1,0,0.05652348736035,0.0531044781692086,0.0654648157970611,0.0583642604422066,0.00638246196406936
0,1,1,1,1,1,1,1,0.0631875070393486,0.0622286796970787,0.0794660658360959,0.068294084190841,0.00968709026898706
1,0,0,0,0,0,0,0,0.00408770719301257,0.00615387634471942,0.00107675432923692,0.00377277928898964,0.00255316992747711
1,0,0,0,0,0,0,1,0.0211891586187687,0.0238130940532225,0.0198239151075668,0.021608722593186,0.00202741525386077
1,0,0,0,0,0,1,0,0.00606609661999468,0.0071474525067949,0.00230844312005096,0.00517399741561352,0.00253985899295456
1,0,0,0,0,0,1,1,0.0223394637080455,0.022335667227799,0.0199306736653121,0.0215352682003855,0.0013896209266581
1,0,0,0,0,1,0,0,0.0131857241605224,0.00628568025883436,0.0118213698795797,0.0104309247663122,0.00365412844205878
1,0,0,0,0,1,0,1,0.0285351194853215,0.0271084510139332,0.0255467143591332,0.0270634282861293,0.00149471120423691
1,0,0,0,0,1,1,0,0.0183509288496901,0.00986573693422611,0.0154602989384396,0.0145589882407852,0.00431380240516917
1,0,0,0,0,1,1,1,0.029275752091158,0.0254940403600126,0.0281160672205207,0.0276286198905637,0.00193740537291045
1,0,0,0,1,0,0,0,0.0202254121105947,0.0240431510664214,0.0191685594846441,0.0211457075538867,0.00256429689183833
1,0,0,0,1,0,0,1,0.0370637919254518,0.0401597160411053,0.0348788889927294,0.0373674656530955,0.00265347826038966
1,0,0,0,1,0,1,0,0.0248936899907458,0.0268620112445621,0.0215716603555588,0.0244424538636222,0.00267388549942037
1,0,0,0,1,0,1,1,0.0372723285526335,0.0384168242638723,0.0352663270994763,0.036985159971994,0.0015947593677407
1,0,0,0,1,1,0,0,0.0336286409061494,0.0246556851274194,0.026929747163854,0.0284046910658076,0.0046647699286453
1,0,0,0,1,1,0,1,0.0191385876290467,0.0450490697685875,0.0377990093146568,0.0339955555707637,0.0133674218330356
